539,Soowon Galbi,Los Angeles,California,OAD North America Best Restaurants,2025,Korean BBQ\
540,Spinasse,Seattle,Washington,OAD North America Best Restaurants,2022,Italian\
541,Spoon & Stable,Minneapolis,Minnesota,OAD North America Best Restaurants,2022,New American\
542,Staplehouse,Atlanta,Georgia,OAD North America Best Restaurants,2019,2020,2021,2023,2024,New American\
543,Sushi Amane,Manhattan,United States,OAD North America Best Restaurants,2019,2020,2021,Sushi\
544,Sushi Azabu,New York,United States,OAD North America Best Restaurants,2019,2020,2021,Sushi\
545,Sushi by Scratch,Santa Barbara,California,OAD North America Best Restaurants,2025,Sushi\
546,Sushi Ginza Onodera - Closed,Manhattan,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
547,Sushi Inoue,Manhattan,United States,OAD North America Best Restaurants,2019,2020,2021,Sushi\
548,Sushi Lab,New York,New York,OAD North America Best Restaurants,2024,2025,Sushi\
549,Sushi Uchu,Manhattan,United States,OAD North America Best Restaurants,2020,2021,Sushi\
550,Tao,New York,New York,OAD North America Best Restaurants,2024,2025,Asian Fusion\
551,Tarsan i Jane,Seattle,United States,OAD North America Best Restaurants,2019,2020,2021,Spanish\
552,Tasting Counter - Closed,Somerville,New England,OAD North America Best Restaurants,2022,2023,2024,2025,Progressive American\
553,Temporis (Closed),Chicago,Illinois,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
554,The Brothers Sushi,Woodland Hills,California,OAD North America Best Restaurants,2024,2025,Sushi\
555,The Lobster Club,Santa Monica,California,OAD North America Best Restaurants,2024,2025,Seafood\
556,The Noortwyck,New York,New York,OAD North America Best Restaurants,2024,2025,New American\
557,The Pluckemin Inn,Bedminster,New Jersey,OAD North America Best Restaurants,2024,2025,New American\
558,The Pool,Manhattan,United States,OAD North America Best Restaurants,2019,2020,2021,Contemporary Seafood\
559,The Royce,Pasadena,California,OAD North America Best Restaurants,2022,2023,2024,2025,Steakhouse-American\
560,The Shack,Staunton,Virginia,OAD North America Best Restaurants,2024,2025,New American\
561,Tomo,Atlanta,Georgia,OAD North America Best Restaurants,2023,2024,2025,Sushi\
562,Travail Kitchen & Amusements,Robbinsdale,United States,OAD North America Best Restaurants,2019,2020,2021,Progressive American\
563,Twist by Pierre Gagnaire,Las Vegas,United States,OAD North America Best Restaurants,2019,2020,2021,French\
564,Uchu,Manhattan,United States,OAD North America Best Restaurants,2019,2020,2021,Japanese\
565,Ukiyo,Manhattan,United States,OAD North America Best Restaurants,2019,2020,2021,Japanese - American\
566,Upland,Miami Beach,United States,OAD North America Best Restaurants,2019,2020,2021,New American\
567,Urasawa,Beverly Hills,United States,OAD North America Best Restaurants,2019,2020,2021,Sushi\
568,Volt,Frederick,United States,OAD North America Best Restaurants,2019,2020,2021,New American\
569,Water Club,New York,New York,OAD North America Best Restaurants,2024,2025,New American\
570,Wherewithall,Chicago,Illinois,OAD North America Best Restaurants,2024,2025,New American\
571,White Barn Inn Restaurant,Kennebunk,Maine,OAD North America Best Restaurants,2024,2025,New American\
572,Willows Inn - Closed,Lummi Island,Washington,OAD North America Best Restaurants,2022,2023,2024,2025,Progressive American\
573,Wokuni,New York,New York,OAD North America Best Restaurants,2024,2025,Japanese\
574,Wolfgang Puck at the Hotel Bel Air - Closed,Bel Air,California,OAD North America Best Restaurants,2022,2023,2024,2025,Modern American\
575,WP 24,Los Angeles,United States,OAD North America Best Restaurants,2019,2020,2021,New American\
}
